sequence	MST-78x1.0
NGPT12049	G063
NGPT12051	G002
NGPT12057	G002
NGPT12058	G005
NGPT12063	G004
NGPT12065	G001
NGPT12070	G002
NGPT12071	G002
NGPT12083	G001
NGPT12087	G002
NGPT12088	G002
NGPT12094	G002
NGPT12095	G004
NGPT12100	G002
NGPT12101	G004
NGPT12103	G004
NGPT12110	G001
NGPT13001	G024
NGPT13002	G011
NGPT13003	G009
NGPT13004	G008
NGPT13005	G006
NGPT13006	G004
NGPT13007	G002
NGPT13008	G047
NGPT13009	G063
NGPT13010	G006
NGPT13012	G002
NGPT13013	G001
NGPT13014	G001
NGPT13015	G004
NGPT13016	G008
NGPT13017	G001
NGPT13018	G005
NGPT13019	G012
NGPT13020	G006
NGPT13021	G001
NGPT13022	G002
NGPT13023	G019
NGPT13024	G002
NGPT13025	G049
NGPT13026	G028
NGPT13027	G003
NGPT13028	G001
NGPT13029	G003
NGPT13030	G086
NGPT13031	G061
NGPT13032	G006
NGPT13033	G006
NGPT13034	G002
NGPT13035	G028
NGPT13036	G002
NGPT13037	G015
NGPT13039	G001
NGPT13040	G008
NGPT13041	G001
NGPT13042	G011
NGPT13043	G008
NGPT13044	G017
NGPT13045	G002
NGPT13046	G002
NGPT13047	G002
NGPT13048	G001
NGPT13049	G002
NGPT13050	G002
NGPT13052	G002
NGPT13053	G002
NGPT13054	G002
NGPT13055	G002
NGPT13056	G002
NGPT13057	G001
NGPT13059	G086
NGPT13060	G131
NGPT13062	G001
NGPT13063	G002
NGPT13064	G078
NGPT13065	G002
NGPT13066	G001
NGPT13067	G006
NGPT13068	G002
NGPT13069	G028
NGPT13070	G057
NGPT13071	G017
NGPT13072	G002
NGPT13074	G047
NGPT13075	G015
NGPT13076	G001
NGPT13077	G001
NGPT13078	G004
NGPT13079	G004
NGPT13080	G031
NGPT13081	G008
NGPT13082	G001
NGPT13083	G002
NGPT13084	G002
NGPT13085	G002
NGPT13086	G001
NGPT13087	G002
NGPT13088	G003
NGPT13089	G063
NGPT13090	G002
NGPT13091	G149
NGPT13092	G002
NGPT13093	G002
NGPT13094	G008
NGPT13095	G011
NGPT13096	G004
NGPT13097	G011
NGPT13098	G008
NGPT13099	G004
NGPT13100	G120
NGPT13101	G011
NGPT13102	G006
NGPT13103	G015
NGPT13104	G014
NGPT13105	G103
NGPT13106	G003
NGPT13107	G077
NGPT13108	G017
NGPT13109	G008
NGPT13110	G001
NGPT13111	G009
NGPT13112	G005
