sequence	root_dist-25x1.0	root_dist-26x1.0	root_dist-27x1.0	root_dist-28x1.0	root_dist-29x1.0	root_dist-30x1.0	root_dist-31x1.0	root_dist-32x1.0	root_dist-33x1.0	root_dist-34x1.0	root_dist-35x1.0	root_dist-36x1.0	root_dist-37x1.0	root_dist-38x1.0	root_dist-39x1.0	root_dist-40x1.0	root_dist-41x1.0	root_dist-42x1.0	root_dist-43x1.0	root_dist-44x1.0	root_dist-45x1.0	root_dist-46x1.0	root_dist-47x1.0	root_dist-48x1.0	root_dist-49x1.0	root_dist-50x1.0	root_dist-51x1.0	root_dist-52x1.0	root_dist-53x1.0	root_dist-54x1.0	root_dist-55x1.0	root_dist-56x1.0	root_dist-57x1.0	root_dist-58x1.0	root_dist-59x1.0	root_dist-60x1.0	root_dist-61x1.0	root_dist-62x1.0	root_dist-63x1.0	root_dist-64x1.0	root_dist-65x1.0	root_dist-66x1.0	root_dist-67x1.0	root_dist-68x1.0	root_dist-69x1.0	avg_clade-1x1.0	max_clade-2x1.0
Portugal/PT22615/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	134	135	145	171	166	142	118	96	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	434	759
Portugal/PT22612/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	134	135	145	171	166	142	118	96	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	434	759
Portugal/PT22147/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	144	170	165	140	113	90	72	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	581	919
Portugal/PT23050/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	144	170	165	140	113	90	72	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	581	919
Portugal/PT21570/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	144	170	165	140	113	90	72	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	581	919
Portugal/PT25191/2022	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	144	170	165	140	113	90	72	56	singleton	singleton	singleton	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT20371/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	143	169	164	138	111	88	69	51	50	36	27	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	618	922
Portugal/PT20555/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	143	169	164	138	111	88	69	51	50	36	27	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	618	922
Portugal/PT23689/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	143	169	164	138	111	88	69	51	49	singleton	singleton	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	553	singleton
Portugal/PT21494/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	143	169	164	138	111	88	69	51	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	553	985
Portugal/PT20308/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	143	169	164	138	111	88	69	51	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	553	985
Portugal/PT22258/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	133	134	143	169	164	138	111	88	69	51	47	singleton	singleton	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	554	singleton
Portugal/PT20975/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	84	63	47	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	514	650
Portugal/PT20979/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	84	63	47	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	514	650
Portugal/PT20954/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	84	63	47	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	514	650
Portugal/PT21556/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	84	63	47	43	30	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	514	singleton
Portugal/PT22621/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	84	63	47	43	singleton	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	514	754
Portugal/PT21641/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	83	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	555	562
Portugal/PT21652/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	83	62	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	555	562
Portugal/PT21216/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	singleton	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	619	singleton
Portugal/PT23277/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	singleton	singleton	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	619	singleton
Portugal/PT22218/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	132	132	133	141	165	160	133	106	82	60	45	42	singleton	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	585	648
Portugal/PT24159/2021	1	1	1	1	1	1	1	1	8	19	54	96	114	129	129	130	138	162	157	130	103	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	444	643
Portugal/PT22814/2021	1	1	1	1	1	1	1	1	8	19	54	96	114	129	129	130	138	162	157	130	103	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	444	643
Portugal/PT22083/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	517	851
Portugal/PT22045/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	517	851
Portugal/PT21455/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	66	47	35	29	24	17	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	518	346
Portugal/PT21887/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	66	47	35	29	24	17	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	518	346
Portugal/PT24051/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	66	47	35	28	23	singleton	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	519	345
Portugal/PT23032/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	66	47	35	28	23	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	519	345
Portugal/PT22962/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	65	46	34	26	21	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	404	443
Portugal/PT22963/2021	1	1	1	1	1	1	1	1	8	18	52	94	111	125	125	126	134	156	151	124	94	65	46	34	26	21	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	404	443
Portugal/PT21640/2021	1	1	1	1	1	1	1	1	4	9	33	71	83	93	92	81	77	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	449	724
Portugal/PT21639/2021	1	1	1	1	1	1	1	1	4	9	33	71	83	93	92	81	77	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	449	724
Portugal/PT21410/2021	1	1	1	1	1	1	1	1	4	9	33	71	83	93	92	81	77	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	449	724
Portugal/PT22031/2021	1	1	1	1	1	1	1	1	4	9	33	71	83	93	92	81	77	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	449	724
Portugal/PT22437/2021	1	1	1	1	1	1	1	1	4	9	33	71	83	93	92	81	77	singleton	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	449	831
Portugal/PT22385/2021	1	1	1	1	1	1	1	1	4	9	33	71	83	93	92	81	77	88	singleton	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT23070/2021	1	1	1	1	1	1	1	1	4	9	33	71	83	93	92	81	77	88	72	singleton	singleton	singleton	singleton	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	586	singleton
