partition	cluster	cluster_length	samples	lineage	clade_membership	first_seq_date	last_seq_date	timespan_days	n_Health_region	Health_region	S1_mutations
root_dist-41x1.0	80	2	Portugal/PT21878/2021,Portugal/PT22664/2021	AY.5 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-21	2021-11-28	7	1	ALGARVE (100.0%) (n = 2)	7.00 (100.0%) (n = 2)
root_dist-41x1.0	184	16	Portugal/PT24187/2021,Portugal/PT23202/2021,Portugal/PT23208/2021,Portugal/PT23205/2021,Portugal/PT23201/2021,Portugal/PT23200/2021,Portugal/PT23206/2021,Portugal/PT23199/2021,Portugal/PT24189/2021,Portugal/PT23203/2021,Portugal/PT23210/2021,Portugal/PT23207/2021,Portugal/PT24190/2021,Portugal/PT24188/2021,Portugal/PT24192/2021,Portugal/PT24193/2021	AY.4 (100.0%) (n = 16)	21J (Delta) (100.0%) (n = 16)	2021-12-01	2021-12-15	14	2	ACORES-RA (87.5%), LX V TEJO (12.5%) (n = 16)	8.00 (100.0%) (n = 16)
root_dist-41x1.0	110	6	Portugal/PT22768/2021,Portugal/PT22769/2021,Portugal/PT24070/2021,Portugal/PT24065/2021,Portugal/PT21010/2021,Portugal/PT23382/2021	AY.122 (100.0%) (n = 6)	21J (Delta) (100.0%) (n = 6)	2021-11-08	2021-12-20	42	3	MADEIRA-RA (50.0%), NORTE (33.3%), ACORES-RA (16.7%) (n = 6)	7.00 (100.0%) (n = 6)
root_dist-41x1.0	213	2	Portugal/PT21909/2021,Portugal/PT22707/2021	AY.4.2.2 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-23	2021-11-30	7	1	ALGARVE (100.0%) (n = 2)	11.00 (100.0%) (n = 2)
root_dist-41x1.0	51	2	Portugal/PT22236/2021,Portugal/PT22237/2021	AY.43 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-23	2021-11-23	0	1	LX V TEJO (100.0%) (n = 2)	7.00 (100.0%) (n = 2)
root_dist-41x1.0	115	2	Portugal/PT21376/2021,Portugal/PT23196/2021	AY.33 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-16	2021-11-30	14	2	LX V TEJO (50.0%), ACORES-RA (50.0%) (n = 2)	11.00 (100.0%) (n = 2)
root_dist-41x1.0	116	3	Portugal/PT20471/2021,Portugal/PT22026/2021,Portugal/PT23925/2021	AY.125 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-11-02	2021-12-14	42	2	CENTRO (66.7%), NORTE (33.3%) (n = 3)	8.00 (100.0%) (n = 3)
root_dist-41x1.0	227	3	Portugal/PT21893/2021,Portugal/PT21260/2021,Portugal/PT21234/2021	AY.4 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-11-14	2021-11-22	8	1	ALGARVE (100.0%) (n = 3)	8.00 (100.0%) (n = 3)
root_dist-41x1.0	197	5	Portugal/PT21744/2021,Portugal/PT21259/2021,Portugal/PT22573/2021,Portugal/PT22913/2021,Portugal/PT22920/2021	AY.4 (100.0%) (n = 5)	21J (Delta) (100.0%) (n = 5)	2021-11-15	2021-12-05	20	1	ALENTEJO (100.0%) (n = 5)	9.00 (80.0%), 11.00 (20.0%) (n = 5)
root_dist-41x1.0	42	4	Portugal/PT20231/2021,Portugal/PT20235/2021,Portugal/PT23569/2021,Portugal/PT23542/2021	AY.43 (100.0%) (n = 4)	21J (Delta) (100.0%) (n = 4)	2021-11-01	2021-12-14	43	2	ALENTEJO (75.0%), CENTRO (25.0%) (n = 4)	7.00 (100.0%) (n = 4)
root_dist-41x1.0	154	6	Portugal/PT22588/2021,Portugal/PT22586/2021,Portugal/PT24843/2022,Portugal/PT24506/2021,Portugal/PT24841/2022,Portugal/PT24845/2022	AY.4 (100.0%) (n = 6)	21J (Delta) (100.0%) (n = 6)	2021-11-29	2022-01-03	35	1	ALENTEJO (100.0%) (n = 6)	9.00 (100.0%) (n = 6)
root_dist-41x1.0	139	65	Portugal/PT21934/2021,Portugal/PT23945/2021,Portugal/PT23510/2021,Portugal/PT21984/2021,Portugal/PT22511/2021,Portugal/PT23411/2021,Portugal/PT23772/2021,Portugal/PT23713/2021,Portugal/PT24571/2021,Portugal/PT22255/2021,Portugal/PT23080/2021,Portugal/PT24131/2021,Portugal/PT24642/2021,Portugal/PT23637/2021,Portugal/PT24767/2021,Portugal/PT23855/2021,Portugal/PT23721/2021,Portugal/PT23074/2021,Portugal/PT23023/2021,Portugal/PT23714/2021,Portugal/PT23083/2021,Portugal/PT23086/2021,Portugal/PT24110/2021,Portugal/PT24107/2021,Portugal/PT24369/2021,Portugal/PT23105/2021,Portugal/PT23853/2021,Portugal/PT23936/2021,Portugal/PT21917/2021,Portugal/PT21926/2021,Portugal/PT22088/2021,Portugal/PT25173/2022,Portugal/PT23820/2021,Portugal/PT23819/2021,Portugal/PT23828/2021,Portugal/PT23818/2021,Portugal/PT23839/2021,Portugal/PT23846/2021,Portugal/PT23840/2021,Portugal/PT23155/2021,Portugal/PT23626/2021,Portugal/PT24156/2021,Portugal/PT23647/2021,Portugal/PT23725/2021,Portugal/PT22370/2021,Portugal/PT23209/2021,Portugal/PT22371/2021,Portugal/PT22538/2021,Portugal/PT22457/2021,Portugal/PT23300/2021,Portugal/PT23127/2021,Portugal/PT22522/2021,Portugal/PT23119/2021,Portugal/PT24171/2021,Portugal/PT24063/2021,Portugal/PT23092/2021,Portugal/PT23398/2021,Portugal/PT23847/2021,Portugal/PT23948/2021,Portugal/PT23826/2021,Portugal/PT23850/2021,Portugal/PT24114/2021,Portugal/PT24191/2021,Portugal/PT23622/2021,Portugal/PT23633/2021	AY.42 (98.5%), AY.122 (1.5%) (n = 65)	21J (Delta) (100.0%) (n = 65)	2021-11-19	2022-01-04	46	5	NORTE (70.8%), ACORES-RA (18.5%), CENTRO (7.7%), ALENTEJO (1.5%), MADEIRA-RA (1.5%) (n = 65)	9.00 (95.4%), 10.00 (3.1%), 8.00 (1.5%) (n = 65)
